UserId,TaskId,BlockId,TargetX,TargetY,StartX,StartY,GuideLength,Time,TimeToRail,FoundTarget,Agency,Easiness
64583,5,0,0,-7,3.94,-10.08,8,9970,4057,True,4,3
64583,6,0,6,-9,-2.99,-4.62,8,2566,1482,True,4,3
64583,7,0,-6,-9,-3.2,-4.85,8,1310,589,True,4,3
64583,8,0,3,-11,-6.7,-13.42,8,9855,8289,False,4,3
64583,9,0,6,-9,1.59,-11.35,8,5899,4680,True,4,3
64583,10,1,-3,-11,-5.65,-6.76,8,9169,7982,True,5,2
64583,11,1,0,-7,6.56,-14.55,8,5403,2616,False,5,2
64583,12,1,3,-11,-2,-11,8,4288,-1,False,5,2
64583,13,1,-3,-11,-7.24,-8.35,8,5722,5687,False,5,2
64583,14,1,-3,-11,6.9,-12.39,8,6522,-1,True,5,2
64583,15,2,-3,-11,-5.65,-6.76,0,8492,-1,False,5,1
64583,16,2,0,-7,6.56,-14.55,0,10211,-1,False,5,1
64583,17,2,3,-11,-2,-11,0,1830,-1,False,5,1
64583,18,2,-3,-11,-7.24,-8.35,0,987,-1,False,5,1
64583,19,2,-3,-11,6.9,-12.39,0,2323,-1,False,5,1
64583,20,3,3,-11,7.89,-9.96,8,7399,7208,True,4,4
64583,21,3,0,-7,7.55,-13.56,8,4833,2241,False,4,4
64583,22,3,-6,-9,2.57,-14.15,8,6691,2728,True,4,4
64583,23,3,6,-9,-3.9,-7.61,8,3084,1785,True,4,4
64583,24,3,3,-11,-6.99,-11.35,8,6090,5040,True,4,4
64583,25,4,-6,-9,-3.28,-4.81,8,1868,405,True,4,5
64583,26,4,-6,-9,2.91,-13.54,8,4376,3208,True,4,5
64583,27,4,-3,-11,6.46,-7.74,8,7215,5081,True,4,5
64583,28,4,0,-7,0.95,-11.91,8,5410,2167,False,4,5
64583,29,4,6,-9,7.71,-13.7,8,1722,731,True,4,5
64583,30,5,3,-11,7.89,-9.96,16,2681,564,True,3,5
64583,31,5,0,-7,7.55,-13.56,16,3003,1613,True,3,5
64583,32,5,-6,-9,2.57,-14.15,16,2745,1073,True,3,5
64583,33,5,6,-9,-3.9,-7.61,16,3534,1188,True,3,5
64583,34,5,3,-11,-6.99,-11.35,16,2155,864,True,3,5
64583,35,6,-6,-9,-3.28,-4.81,0,6074,-1,False,5,1
64583,36,6,-6,-9,2.91,-13.54,0,7800,-1,False,5,1
64583,37,6,-3,-11,6.46,-7.74,0,8149,-1,False,5,1
64583,38,6,0,-7,0.95,-11.91,0,3315,-1,False,5,1
64583,39,6,6,-9,7.71,-13.7,0,11304,-1,False,5,1
64583,40,7,-6,-9,-3.28,-4.81,16,4802,782,True,4,5
64583,41,7,-6,-9,2.91,-13.54,16,2291,935,True,4,5
64583,42,7,-3,-11,6.46,-7.74,16,4611,776,True,4,5
64583,43,7,0,-7,0.95,-11.91,16,627,316,True,4,5
64583,44,7,6,-9,7.71,-13.7,16,3152,417,True,4,5
64583,45,8,3,-11,7.89,-9.96,0,6840,-1,False,5,1
64583,46,8,0,-7,7.55,-13.56,0,9198,-1,False,5,1
64583,47,8,-6,-9,2.57,-14.15,0,4394,-1,False,5,1
64583,48,8,6,-9,-3.9,-7.61,0,8176,-1,False,5,1
64583,49,8,3,-11,-6.99,-11.35,0,2703,-1,False,5,1
64583,50,9,0,-7,3.94,-10.08,0,9214,-1,False,5,2
64583,51,9,6,-9,-2.99,-4.62,0,7684,-1,False,5,2
64583,52,9,-6,-9,-3.2,-4.85,0,2366,-1,False,5,2
64583,53,9,3,-11,-6.7,-13.42,0,5249,-1,False,5,2
64583,54,9,6,-9,1.59,-11.35,0,4831,-1,False,5,2
64583,55,10,0,-7,3.94,-10.08,16,3030,1174,True,4,5
64583,56,10,6,-9,-2.99,-4.62,16,1820,1326,False,4,5
64583,57,10,-6,-9,-3.2,-4.85,16,2088,437,True,4,5
64583,58,10,3,-11,-6.7,-13.42,16,13499,589,True,4,5
64583,59,10,6,-9,1.59,-11.35,16,2496,384,True,4,5
64583,60,11,-3,-11,-5.65,-6.76,16,1611,267,True,3,5
64583,61,11,0,-7,6.56,-14.55,16,2282,912,True,3,5
64583,62,11,3,-11,-2,-11,16,1106,449,True,3,5
64583,63,11,-3,-11,-7.24,-8.35,16,1938,845,True,3,5
64583,64,11,-3,-11,6.9,-12.39,16,2249,1715,True,3,5
